"study","model","subID","subj_idx","n_trials","k_mean","k_max","n_good","n_ok","n_bad","n_verybad","pct_reliable","concern"
"S1","bias",48342,1,148,0.0488,0.0672,148,0,0,0,100,"NONE"
"S1","bias",50764,2,141,0.1603,0.2697,141,0,0,0,100,"NONE"
"S1","bias",51185,3,141,-0.1099,-0.0636,141,0,0,0,100,"NONE"
"S1","bias",52347,4,148,-0.0121,0.018,148,0,0,0,100,"NONE"
"S1","bias",52788,5,147,-0.023,0.0392,147,0,0,0,100,"NONE"
"S1","bias",54074,6,146,-0.0704,-0.0316,146,0,0,0,100,"NONE"
"S1","bias",54892,7,148,0.0052,0.0337,148,0,0,0,100,"NONE"
"S1","bias",55173,8,148,0.0046,0.0721,148,0,0,0,100,"NONE"
"S1","bias",55745,9,147,-0.0303,0.0635,147,0,0,0,100,"NONE"
"S1","bias",57304,10,148,-0.0322,-0.0084,148,0,0,0,100,"NONE"
"S1","bias",57539,11,148,-0.0222,0.0032,148,0,0,0,100,"NONE"
"S1","bias",57904,12,145,-0.0603,-0.0306,145,0,0,0,100,"NONE"
"S1","bias",58102,13,147,0.0091,0.0715,147,0,0,0,100,"NONE"
"S1","bias",58432,14,146,-0.117,0.0278,146,0,0,0,100,"NONE"
"S1","bias",58529,15,141,-0.0477,-0.035,141,0,0,0,100,"NONE"
"S1","bias",58585,16,148,-0.0365,-0.0144,148,0,0,0,100,"NONE"
"S1","bias",58623,17,148,0.0249,0.059,148,0,0,0,100,"NONE"
"S1","bias",58630,18,145,-0.0268,-0.0107,145,0,0,0,100,"NONE"
"S1","bias",58633,19,148,-0.0616,0.0414,148,0,0,0,100,"NONE"
"S1","bias",58664,20,147,-0.0447,-0.0099,147,0,0,0,100,"NONE"
"S1","bias",58684,21,148,0.1158,0.1983,148,0,0,0,100,"NONE"
"S1","bias",58704,22,148,-0.0679,-0.0306,148,0,0,0,100,"NONE"
"S1","bias",58726,23,147,-0.0246,-0.0243,147,0,0,0,100,"NONE"
"S1","bias",58818,24,146,-0.0711,-0.0184,146,0,0,0,100,"NONE"
"S1","bias",58826,25,148,-0.0262,0.0107,148,0,0,0,100,"NONE"
"S1","bias",58875,26,145,-0.0057,0.0035,145,0,0,0,100,"NONE"
"S1","bias",58890,27,148,-0.017,0.0655,148,0,0,0,100,"NONE"
"S1","bias",58896,28,148,-0.068,-0.0177,148,0,0,0,100,"NONE"
"S1","bias",58941,29,147,0.1127,0.1921,147,0,0,0,100,"NONE"
"S1","bias",58971,30,148,0.0045,0.0228,148,0,0,0,100,"NONE"
"S1","bias",58976,31,148,-0.0788,0.1694,148,0,0,0,100,"NONE"
