"study","model","subID","subj_idx","n_trials","k_mean","k_max","n_good","n_ok","n_bad","n_verybad","pct_reliable","concern"
"S1","bias",48342,1,148,-0.059,0.087,148,0,0,0,100,"NONE"
"S1","bias",50764,2,141,0.0972,0.21,141,0,0,0,100,"NONE"
"S1","bias",51185,3,141,-0.0663,0.0303,141,0,0,0,100,"NONE"
"S1","bias",52347,4,148,2e-04,0.0254,148,0,0,0,100,"NONE"
"S1","bias",52788,5,147,-0.1153,-0.0933,147,0,0,0,100,"NONE"
"S1","bias",54074,6,146,-0.0371,0.0311,146,0,0,0,100,"NONE"
"S1","bias",54892,7,148,0.0171,0.1013,148,0,0,0,100,"NONE"
"S1","bias",55173,8,148,-0.0646,-0.0354,148,0,0,0,100,"NONE"
"S1","bias",55745,9,147,-0.0664,-0.0523,147,0,0,0,100,"NONE"
"S1","bias",57304,10,148,0.0256,0.0585,148,0,0,0,100,"NONE"
"S1","bias",57539,11,148,-0.0797,-0.0617,148,0,0,0,100,"NONE"
"S1","bias",57904,12,145,-0.0329,0.0165,145,0,0,0,100,"NONE"
"S1","bias",58102,13,147,-0.0174,-0.0017,147,0,0,0,100,"NONE"
"S1","bias",58432,14,146,0.0333,0.0355,146,0,0,0,100,"NONE"
"S1","bias",58529,15,141,-0.0846,-0.0278,141,0,0,0,100,"NONE"
"S1","bias",58585,16,148,0.0741,0.0931,148,0,0,0,100,"NONE"
"S1","bias",58623,17,148,0.0321,0.1128,148,0,0,0,100,"NONE"
"S1","bias",58630,18,145,-0.0864,-0.086,145,0,0,0,100,"NONE"
"S1","bias",58633,19,148,-0.066,-0.0513,148,0,0,0,100,"NONE"
"S1","bias",58664,20,147,-0.0555,0.0145,147,0,0,0,100,"NONE"
"S1","bias",58684,21,148,0.007,0.0254,148,0,0,0,100,"NONE"
"S1","bias",58704,22,148,-0.0407,0.0426,148,0,0,0,100,"NONE"
"S1","bias",58726,23,147,-0.0499,-0.0222,147,0,0,0,100,"NONE"
"S1","bias",58818,24,146,-0.0352,-0.0229,146,0,0,0,100,"NONE"
"S1","bias",58826,25,148,-0.0427,0.0052,148,0,0,0,100,"NONE"
"S1","bias",58875,26,145,-0.1077,-0.0093,145,0,0,0,100,"NONE"
"S1","bias",58890,27,148,0.027,0.0271,148,0,0,0,100,"NONE"
"S1","bias",58896,28,148,-0.0572,0.0899,148,0,0,0,100,"NONE"
"S1","bias",58941,29,147,0.0808,0.1251,147,0,0,0,100,"NONE"
"S1","bias",58971,30,148,-0.1071,-0.0849,148,0,0,0,100,"NONE"
"S1","bias",58976,31,148,-0.082,0.1258,148,0,0,0,100,"NONE"
"S1","bias",58990,32,148,-0.0653,-0.0398,148,0,0,0,100,"NONE"
"S1","bias",58994,33,148,0.0323,0.0626,148,0,0,0,100,"NONE"
"S1","bias",59058,34,147,0.0505,0.1544,147,0,0,0,100,"NONE"
"S1","bias",59066,35,148,-0.0762,-0.036,148,0,0,0,100,"NONE"
"S1","bias",59082,36,118,-0.0083,0.0103,118,0,0,0,100,"NONE"
"S1","bias",59095,37,131,-0.06,-0.0598,131,0,0,0,100,"NONE"
"S1","bias",59134,38,129,-0.1044,-0.0369,129,0,0,0,100,"NONE"
"S1","bias",59136,39,132,-0.0521,-0.0019,132,0,0,0,100,"NONE"
"S1","bias",59142,40,148,-0.0816,-0.0217,148,0,0,0,100,"NONE"
"S1","bias",59151,41,148,-0.0059,0.0293,148,0,0,0,100,"NONE"
"S1","bias",59164,42,145,0.0306,0.0831,145,0,0,0,100,"NONE"
"S1","bias",59167,43,148,-0.0116,0.0413,148,0,0,0,100,"NONE"
"S1","bias",59198,44,146,-0.0475,0.0276,146,0,0,0,100,"NONE"
"S1","bias",59216,45,148,-0.0253,0.0226,148,0,0,0,100,"NONE"
"S1","bias",59248,46,148,0.0855,0.128,148,0,0,0,100,"NONE"
"S1","bias",59274,47,148,-0.0958,-0.0678,148,0,0,0,100,"NONE"
"S1","bias",59287,48,127,0.0439,0.0712,127,0,0,0,100,"NONE"
"S1","bias",59297,49,148,0.0462,0.1176,148,0,0,0,100,"NONE"
"S1","bias",59298,50,146,-0.119,-0.1155,146,0,0,0,100,"NONE"
"S1","bias",59306,51,148,0.0544,0.0658,148,0,0,0,100,"NONE"
"S1","bias",59307,52,148,-0.099,-0.0341,148,0,0,0,100,"NONE"
"S1","bias",59308,53,148,-0.0085,0.007,148,0,0,0,100,"NONE"
"S1","bias",59310,54,148,0.0064,0.0294,148,0,0,0,100,"NONE"
"S1","bias",59321,55,143,-0.1324,-0.0276,143,0,0,0,100,"NONE"
"S1","bias",59353,56,148,0.0387,0.059,148,0,0,0,100,"NONE"
"S1","bias",59377,57,148,-0.0718,-0.0172,148,0,0,0,100,"NONE"
"S1","bias",60111,58,148,-0.0108,0.0197,148,0,0,0,100,"NONE"
"S1","bias",60116,59,148,-0.0486,0.0437,148,0,0,0,100,"NONE"
"S1","bias",60146,60,148,-0.0435,-0.0322,148,0,0,0,100,"NONE"
"S1","bias",60151,61,148,-0.0334,0.0221,148,0,0,0,100,"NONE"
