"study","model","subID","subj_idx","n_trials","k_mean","k_max","n_good","n_ok","n_bad","n_verybad","pct_reliable","concern"
"S1","sym_lambda",48342,1,148,-0.0139,0.1867,148,0,0,0,100,"NONE"
"S1","sym_lambda",50764,2,141,0.0951,0.6698,134,7,0,0,100,"LOW"
"S1","sym_lambda",51185,3,141,0.0303,0.1561,141,0,0,0,100,"NONE"
"S1","sym_lambda",52347,4,148,-0.0369,0.3111,148,0,0,0,100,"NONE"
"S1","sym_lambda",52788,5,147,-0.0467,0.1024,147,0,0,0,100,"NONE"
"S1","sym_lambda",54074,6,146,-0.0185,0.2898,146,0,0,0,100,"NONE"
"S1","sym_lambda",54892,7,148,-0.044,0.1316,148,0,0,0,100,"NONE"
"S1","sym_lambda",55173,8,148,-0.011,1.7123,146,1,0,1,99.3,"HIGH"
"S1","sym_lambda",55745,9,147,-0.0032,0.2589,147,0,0,0,100,"NONE"
"S1","sym_lambda",57304,10,148,0.02,0.1686,148,0,0,0,100,"NONE"
"S1","sym_lambda",57539,11,148,0.0111,0.1437,148,0,0,0,100,"NONE"
"S1","sym_lambda",57904,12,145,0.0284,0.1475,145,0,0,0,100,"NONE"
"S1","sym_lambda",58102,13,147,-0.0512,1.9251,146,0,0,1,99.3,"HIGH"
"S1","sym_lambda",58432,14,146,0.016,0.1535,146,0,0,0,100,"NONE"
"S1","sym_lambda",58529,15,141,-0.0291,0.1961,141,0,0,0,100,"NONE"
"S1","sym_lambda",58585,16,148,0.0213,0.1408,148,0,0,0,100,"NONE"
"S1","sym_lambda",58623,17,148,-0.0304,0.2575,148,0,0,0,100,"NONE"
"S1","sym_lambda",58630,18,145,-0.0064,0.1555,145,0,0,0,100,"NONE"
"S1","sym_lambda",58633,19,148,-0.0359,0.1296,148,0,0,0,100,"NONE"
"S1","sym_lambda",58664,20,147,0.0378,1.6625,143,0,2,2,97.3,"HIGH"
"S1","sym_lambda",58684,21,148,0.3418,1.7331,101,10,14,23,75,"HIGH"
"S1","sym_lambda",58704,22,148,0.0366,0.2035,148,0,0,0,100,"NONE"
"S1","sym_lambda",58726,23,147,0.0477,0.2733,147,0,0,0,100,"NONE"
"S1","sym_lambda",58818,24,146,0.0336,2.4311,145,0,0,1,99.3,"HIGH"
"S1","sym_lambda",58826,25,148,-4e-04,0.1322,148,0,0,0,100,"NONE"
"S1","sym_lambda",58875,26,145,0.0022,0.2513,145,0,0,0,100,"NONE"
"S1","sym_lambda",58890,27,148,-0.0057,0.1729,148,0,0,0,100,"NONE"
"S1","sym_lambda",58896,28,148,-0.0063,0.2092,148,0,0,0,100,"NONE"
"S1","sym_lambda",58941,29,147,0.1073,0.989,142,1,4,0,97.3,"MODERATE"
"S1","sym_lambda",58971,30,148,-0.1166,0.2274,148,0,0,0,100,"NONE"
"S1","sym_lambda",58976,31,148,0.0716,0.176,148,0,0,0,100,"NONE"
"S1","sym_lambda",58990,32,148,0.0206,0.5121,147,1,0,0,100,"LOW"
"S1","sym_lambda",58994,33,148,0.004,0.1724,148,0,0,0,100,"NONE"
"S1","sym_lambda",59058,34,147,0.0584,0.2504,147,0,0,0,100,"NONE"
"S1","sym_lambda",59066,35,148,-0.0059,1.0116,145,1,1,1,98.6,"HIGH"
"S1","sym_lambda",59082,36,118,0.5824,1.9955,72,4,5,37,64.4,"HIGH"
"S1","sym_lambda",59095,37,131,0.1702,2.2426,123,1,0,7,94.7,"HIGH"
"S1","sym_lambda",59134,38,129,0.0644,0.2751,129,0,0,0,100,"NONE"
"S1","sym_lambda",59136,39,132,-0.0056,0.1361,132,0,0,0,100,"NONE"
"S1","sym_lambda",59142,40,148,0.0057,0.1453,148,0,0,0,100,"NONE"
"S1","sym_lambda",59151,41,148,0.0783,0.6873,147,1,0,0,100,"LOW"
"S1","sym_lambda",59164,42,145,0.1897,0.8824,122,8,15,0,89.7,"MODERATE"
"S1","sym_lambda",59167,43,148,0.0046,0.3634,148,0,0,0,100,"NONE"
"S1","sym_lambda",59198,44,146,0.0291,0.2278,146,0,0,0,100,"NONE"
"S1","sym_lambda",59216,45,148,0.0667,0.7506,137,8,3,0,98,"MODERATE"
"S1","sym_lambda",59248,46,148,0.0167,0.1438,148,0,0,0,100,"NONE"
"S1","sym_lambda",59274,47,148,0.2052,1.5918,124,5,5,14,87.2,"HIGH"
"S1","sym_lambda",59287,48,127,0.0668,1.3286,123,2,1,1,98.4,"HIGH"
"S1","sym_lambda",59297,49,148,0.0325,1.48,144,1,0,3,98,"HIGH"
"S1","sym_lambda",59298,50,146,0.0436,0.14,146,0,0,0,100,"NONE"
"S1","sym_lambda",59306,51,148,0.031,0.4041,148,0,0,0,100,"NONE"
"S1","sym_lambda",59307,52,148,-0.0607,0.1851,148,0,0,0,100,"NONE"
"S1","sym_lambda",59308,53,148,0.0172,1.2304,145,0,2,1,98,"HIGH"
"S1","sym_lambda",59310,54,148,-0.0386,0.1061,148,0,0,0,100,"NONE"
"S1","sym_lambda",59321,55,143,0.0032,0.243,143,0,0,0,100,"NONE"
"S1","sym_lambda",59353,56,148,0.0123,0.3398,148,0,0,0,100,"NONE"
"S1","sym_lambda",59377,57,148,-0.0384,0.0835,148,0,0,0,100,"NONE"
"S1","sym_lambda",60111,58,148,-0.0265,0.216,148,0,0,0,100,"NONE"
"S1","sym_lambda",60116,59,148,0.0378,0.2666,148,0,0,0,100,"NONE"
"S1","sym_lambda",60146,60,148,0.0129,0.2257,148,0,0,0,100,"NONE"
"S1","sym_lambda",60151,61,148,0.0358,0.1458,148,0,0,0,100,"NONE"
