"study","model","subID","subj_idx","n_trials","k_mean","k_max","n_good","n_ok","n_bad","n_verybad","pct_reliable","concern"
"S1","symmetric",48342,1,148,-0.0038,0.0709,148,0,0,0,100,"NONE"
"S1","symmetric",50764,2,141,0.0154,0.7459,134,6,1,0,99.3,"MODERATE"
"S1","symmetric",51185,3,141,-0.0021,0.0895,141,0,0,0,100,"NONE"
"S1","symmetric",52347,4,148,-0.0062,0.0477,148,0,0,0,100,"NONE"
"S1","symmetric",52788,5,147,-0.0197,0.1361,147,0,0,0,100,"NONE"
"S1","symmetric",54074,6,146,-0.0382,0.0181,146,0,0,0,100,"NONE"
"S1","symmetric",54892,7,148,-0.0535,0.0754,148,0,0,0,100,"NONE"
"S1","symmetric",55173,8,148,-0.0314,0.1296,148,0,0,0,100,"NONE"
"S1","symmetric",55745,9,147,0.1089,0.29,147,0,0,0,100,"NONE"
"S1","symmetric",57304,10,148,-0.0333,0.075,148,0,0,0,100,"NONE"
"S1","symmetric",57539,11,148,-0.0402,0.013,148,0,0,0,100,"NONE"
"S1","symmetric",57904,12,145,-0.076,0.0134,145,0,0,0,100,"NONE"
"S1","symmetric",58102,13,147,0.017,0.1403,147,0,0,0,100,"NONE"
"S1","symmetric",58432,14,146,0.0056,0.1125,146,0,0,0,100,"NONE"
"S1","symmetric",58529,15,141,-0.0608,0.0482,141,0,0,0,100,"NONE"
"S1","symmetric",58585,16,148,-6e-04,0.097,148,0,0,0,100,"NONE"
"S1","symmetric",58623,17,148,-0.0349,0.1202,148,0,0,0,100,"NONE"
"S1","symmetric",58630,18,145,-0.0442,0.1228,145,0,0,0,100,"NONE"
"S1","symmetric",58633,19,148,-0.2332,-0.0458,148,0,0,0,100,"NONE"
"S1","symmetric",58664,20,147,-0.0552,0.0536,147,0,0,0,100,"NONE"
"S1","symmetric",58684,21,148,0.1782,0.8278,131,11,6,0,95.9,"MODERATE"
"S1","symmetric",58704,22,148,0.0014,0.0578,148,0,0,0,100,"NONE"
"S1","symmetric",58726,23,147,-0.1076,0.0235,147,0,0,0,100,"NONE"
"S1","symmetric",58818,24,146,-0.0092,0.0907,146,0,0,0,100,"NONE"
"S1","symmetric",58826,25,148,-0.1203,0.0376,148,0,0,0,100,"NONE"
"S1","symmetric",58875,26,145,-0.0182,0.11,145,0,0,0,100,"NONE"
"S1","symmetric",58890,27,148,0.0425,0.1093,148,0,0,0,100,"NONE"
"S1","symmetric",58896,28,148,0.0328,0.1108,148,0,0,0,100,"NONE"
"S1","symmetric",58941,29,147,0.0098,0.1457,147,0,0,0,100,"NONE"
"S1","symmetric",58971,30,148,-0.0829,0.0416,148,0,0,0,100,"NONE"
"S1","symmetric",58976,31,148,-0.0208,0.0162,148,0,0,0,100,"NONE"
"S1","symmetric",58990,32,148,0.0062,0.7571,142,1,5,0,96.6,"MODERATE"
"S1","symmetric",58994,33,148,0.0047,0.1458,148,0,0,0,100,"NONE"
"S1","symmetric",59058,34,147,5e-04,0.213,147,0,0,0,100,"NONE"
"S1","symmetric",59066,35,148,-0.1743,0.1473,148,0,0,0,100,"NONE"
"S1","symmetric",59082,36,118,0.2781,1.8082,93,11,5,9,88.1,"HIGH"
"S1","symmetric",59095,37,131,0.3209,1.5147,97,23,8,3,91.6,"HIGH"
"S1","symmetric",59134,38,129,-0.0084,0.0989,129,0,0,0,100,"NONE"
"S1","symmetric",59136,39,132,-0.0104,0.0423,132,0,0,0,100,"NONE"
"S1","symmetric",59142,40,148,0.0217,0.132,148,0,0,0,100,"NONE"
"S1","symmetric",59151,41,148,0.0266,0.1965,148,0,0,0,100,"NONE"
"S1","symmetric",59164,42,145,0.0726,0.1581,145,0,0,0,100,"NONE"
"S1","symmetric",59167,43,148,-0.0444,0.1209,148,0,0,0,100,"NONE"
"S1","symmetric",59198,44,146,-0.017,0.104,146,0,0,0,100,"NONE"
"S1","symmetric",59216,45,148,-0.0105,0.2706,148,0,0,0,100,"NONE"
"S1","symmetric",59248,46,148,-0.0404,0.0739,148,0,0,0,100,"NONE"
"S1","symmetric",59274,47,148,0.2217,1.1516,119,3,15,11,82.4,"HIGH"
"S1","symmetric",59287,48,127,0.0252,0.1464,127,0,0,0,100,"NONE"
"S1","symmetric",59297,49,148,-0.0314,0.1279,148,0,0,0,100,"NONE"
"S1","symmetric",59298,50,146,0.0246,0.1405,146,0,0,0,100,"NONE"
"S1","symmetric",59306,51,148,-0.0155,0.0647,148,0,0,0,100,"NONE"
"S1","symmetric",59307,52,148,-0.0215,0.0802,148,0,0,0,100,"NONE"
"S1","symmetric",59308,53,148,0.0597,0.1513,148,0,0,0,100,"NONE"
"S1","symmetric",59310,54,148,-0.1198,0.0845,148,0,0,0,100,"NONE"
"S1","symmetric",59321,55,143,-0.0382,0.0631,143,0,0,0,100,"NONE"
"S1","symmetric",59353,56,148,0.1259,1.1019,121,12,12,3,89.9,"HIGH"
"S1","symmetric",59377,57,148,-0.0382,0.1629,148,0,0,0,100,"NONE"
"S1","symmetric",60111,58,148,0.0116,0.0759,148,0,0,0,100,"NONE"
"S1","symmetric",60116,59,148,-0.0477,0.0207,148,0,0,0,100,"NONE"
"S1","symmetric",60146,60,148,-0.0013,0.2369,148,0,0,0,100,"NONE"
"S1","symmetric",60151,61,148,0.0027,0.1425,148,0,0,0,100,"NONE"
