"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-5756.3692018875,-5755.97055,12.9512135133519,12.9876501299998,-5778.41533,-5735.670055,1.00152643514527,2252.83510989533,3743.33544269887
"2","mu_pr[1]",-0.489842166088112,-0.582273575,0.490630363268965,0.294021856065,-1.034668105,0.430750978999999,1.00246789636538,808.554127803798,1210.90353183403
"3","mu_pr[2]",-0.358791939101039,-0.360072355,0.140847751014112,0.140977305714,-0.587159443,-0.1263712995,1.00160831220048,1213.57153179156,3264.56638175056
"4","mu_pr[3]",0.567693569771842,0.557266445,0.272808559700854,0.247219354242,0.1435573815,1.010076305,1.00180083455769,1156.49891780037,2128.70904226726
"5","mu_pr[4]",0.14511047757612,0.160325705,0.250692627397478,0.24850275855531,-0.288159426,0.5246916025,1.00338687776006,1243.62287331709,2332.99789243135
"6","sigma[1]",0.331709422127133,0.3050047,0.218928158302904,0.238718503905,0.02893099005,0.7256349,1.00358802654939,865.472315525789,2340.73832044016
"7","sigma[2]",0.70396486293,0.697539905,0.124647335118781,0.12768351351,0.514077698,0.9205690765,1.00185911445809,1125.33114392671,2537.2060961156
"8","sigma[3]",0.378054571798786,0.360873455,0.23389697696713,0.25216913295,0.03912103555,0.7937503385,1.00299983348686,1112.85332938168,2818.79730449698
"9","sigma[4]",1.1900400039175,1.1816591,0.152818690095651,0.15397512648,0.956736043,1.452389075,1.00017912948268,6114.67402642719,5672.86206752837
"10","m_pr[1]",0.655955928484232,0.692050945,0.905431182914821,0.86433015102,-0.912222318,2.099149955,1.00096116960625,2330.42982013553,4806.77353768154
"11","m_pr[2]",-0.039831013528856,-0.0372555535,0.980228077099531,0.958035133797,-1.649755265,1.60790053,1.00087526809768,11899.126437156,5634.20215851891
"12","m_pr[3]",-0.05033138265962,-0.081355115,0.942175153265526,0.904655225334,-1.55255252,1.550091175,1.00035650403291,11813.3569028638,6061.57805810642
"13","m_pr[4]",-0.157830643709523,-0.153153065,1.04358654057598,1.084143125352,-1.858964345,1.547228765,1.00219253726728,9590.0143977466,5664.77786072592
"14","m_pr[5]",0.273189027696308,0.28549569,0.927849150749797,0.906431254113,-1.25592029,1.78151376,1.00013613620805,4414.805259476,5288.05747012318
"15","m_pr[6]",-0.152346728064616,-0.161920805,1.02124846429407,1.035064224663,-1.820469345,1.52852197,1.00023829243981,9777.8841545579,5766.84226002196
"16","m_pr[7]",0.00231663130483934,-0.0123902785,0.883812070036035,0.8523016741491,-1.417249895,1.478218555,1.00077418522443,8291.76268968025,6425.91100324789
"17","m_pr[8]",-0.0562529715615973,-0.0610194555,0.985801489580286,0.9921936084333,-1.67947806,1.576141465,1.00088912920301,13287.3030552476,6143.36710260108
"18","m_pr[9]",-0.21638831005406,-0.23726619,1.01784826624943,1.010547283893,-1.83554474,1.495546845,1.00023120074191,6368.08523252599,5592.862635602
"19","m_pr[10]",-0.158983722891011,-0.179716175,1.03113381520149,1.071100871064,-1.81346434,1.53401088,1.00253060987198,8417.65557405446,5949.20438255002
"20","m_pr[11]",0.222894960322014,0.2321223,0.934053951289072,0.904266020595,-1.29707559,1.75070459,1.00036829332524,5736.61832722669,5018.01719973655
"21","m_pr[12]",0.46140428988937,0.47515055,0.925756807796672,0.89195009946,-1.11265573,1.94524024,1.00134283922803,3592.45788756636,4731.54572557187
"22","m_pr[13]",-0.0141836368866399,-0.020903387,0.98353592124223,0.990670169475,-1.63067211,1.633834475,0.999927877895298,13837.8023267257,5791.0396183718
"23","m_pr[14]",0.134615683846302,0.11792445,0.926637502490822,0.923231098797,-1.35638271,1.65644046,1.001186600638,8270.93083136315,5530.133873801
"24","m_pr[15]",-0.0888019905862299,-0.0998551175,0.871292442797457,0.820753972122,-1.511543085,1.364668435,1.00090660587209,6711.91242493389,5600.75390011387
"25","m_pr[16]",-0.384510421461602,-0.3337485,1.1392774988305,1.207890906663,-2.297791565,1.449959825,1.00114878339704,2325.48137543709,4483.96582764566
"26","m_pr[17]",-0.46321139028402,-0.493943975,1.08938813193638,1.118986982988,-2.18395679,1.36500402,1.00084152949989,3201.10028217301,5855.94400648812
"27","m_pr[18]",0.266979345524841,0.253745275,0.923274848997236,0.909819751239,-1.24138546,1.81325804,1.0009775753681,7319.78803726253,6050.08041023634
"28","m_pr[19]",-0.060185853442315,-0.081057138,0.922486483750165,0.8859755283582,-1.5346989,1.51540073,1.00019900597862,9910.20517015022,5595.54729544322
"29","m_pr[20]",-0.0464552252096186,-0.045851737,1.0208664015693,1.026901451604,-1.69953771,1.64060264,1.00090661267383,13439.9929219299,5769.85968330607
"30","m_pr[21]",-0.0483969555140075,-0.0604366085,1.01919501753089,1.030143749544,-1.69357585,1.63673087,0.999940083673478,14311.9437157101,5262.54610139373
"31","m_pr[22]",-0.0777338008281975,-0.0637411775,1.01671245941778,1.0089659909175,-1.764781175,1.58452562,1.00050657918244,12166.593567022,5867.11096146003
"32","m_pr[23]",-0.202466860066546,-0.228872045,1.02945468324874,1.043045764698,-1.882859555,1.52629503,1.00004269170846,6117.84301214063,5537.7464798481
"33","m_pr[24]",-0.0999307620523838,-0.114144195,0.993873955246755,1.009631370678,-1.7093659,1.52184282,1.00090763197039,12278.7449660449,6037.49767680395
"34","m_pr[25]",0.127776525228799,0.1032675,0.89511079905542,0.868730107518,-1.329288215,1.62750956,1.00045110090524,6181.50222474314,5509.93874487001
"35","m_pr[26]",-0.127452594542469,-0.124831945,1.03917831799899,1.069423487076,-1.850959535,1.563600085,0.999931897367407,9846.44021260991,6009.33814056296
"36","m_pr[27]",-0.100231395437496,-0.102350205,1.04411982315645,1.057241059245,-1.798036955,1.603837175,1.00173465427372,10670.984915505,5651.64768205771
