SING 1,SING 2,SING 3,SING 4,SING 5,SING 6,SING 7,SING 8,SING 9,SING 10,SING 11,SING 12,SING 13,SING 14,SING 15,SING 16,SING 17,SING 18,SING 19,SING 20,SING 21,SING 22,SING 23,SING 24,SING 25,SING 26,SING 27,SING 28,SING 29,SING 30,Proto_1,Proto_2,Proto_3,Proto_4,DS_1,DS_2,DS_5,DS_6,DS_7,DS_8,DS_9,DS_10,DS_11,DS_12,DS_13,DS_15,DS_16,DS_17,SCC_1,SCC_2,SCC_3,SCC_4,SCC_5,SCC_6,SCC_7,SCC_8,SCC_9,SCC_10,SCC_11,SCC_12,RSE 1,RSE 2,RSE 3,RSE 4,RSE 5,RSE 6,RSE 7,RSE 8,RSE 9,RSE 10,SI,NFC-6_1,NFC-6_2,NFC-6_3,NFC-6_4,NFC-6_5,NFC-6_6,NTB_1,NTB_2,NTB_3,NTB_4,NTB_5,NTB_6,NTB_7,NTB_8,NTB_9,NTB_10,Off1,Off2,Off3,ConDeb,Off4_1,Off5,Off6,Comments,Serious,UnderstandIns,UnderstandTr,Usable,id,mgroup
3,1,4,6,2,6,5,4,2,5,5,5,4,2,3,2,4,1,5,2,5,3,5,2,3,5,3,5,2,7,6,1,5,5,3,5,7,5,4,5,3,5,5,5,6,4,6,6,4,4,5,3,4,3,4,4,4,5,2,2,2,3,2,3,4,4,2,4,3,2,18,3,4,4,4,4,2,2,3,4,4,4,4,3,5,5,5,"Nothing unusual, the study was pretty straightforward.","No, I feel completely the same.","Yes, some questions made me think much more.",2,60,2,Some questions made me think more.,,6,4,4,1,59233,Underestimator
5,5,4,5,3,4,4,5,4,3,4,4,5,5,3,3,4,4,4,5,5,4,4,3,5,4,4,4,3,5,7,7,7,7,3,4,5,4,5,3,4,4,5,5,3,3,4,5,4,3,3,4,4,3,4,3,3,4,4,2,3,3,2,3,3,3,3,2,3,3,18,2,3,3,4,4,3,4,4,4,4,4,3,3,4,4,4,No,Not really,Yes lots of doubt,1,81,1,N/A,No,6,7,7,1,58896,Overestimator
7,7,7,7,7,7,7,4,4,7,5,3,6,5,4,2,1,3,7,7,7,7,4,4,4,4,6,6,7,2,3,5,4,4,3,4,1,1,5,5,7,7,7,6,4,4,4,7,2,2,2,1,1,1,1,1,1,1,5,3,4,1,4,4,4,1,4,2,1,4,17,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,not knowing what undersimulator is ,no ,no,2,66,2,,,5,5,6,1,60147,Underestimator
5,4,3,3,4,4,5,5,5,5,4,5,5,4,3,4,5,5,4,6,4,5,5,1,4,5,4,5,5,5,5,6,5,6,7,4,1,3,5,6,6,4,5,3,3,1,2,5,2,2,1,1,2,4,2,2,2,2,4,2,4,1,4,4,1,1,4,1,1,3,17,3,4,2,2,3,4,5,2,5,4,2,3,3,2,2,1,Still not too sure about the difference between under estimator and over estimator ,I was not,"for some of the traits, yes",1,66,1,,,7,6,7,1,58633,Underestimator
6,5,3,6,6,6,6,6,2,5,6,1,5,6,6,2,6,5,2,5,5,5,5,3,6,6,6,6,3,5,6,5,5,5,5,3,3,3,4,3,5,3,3,3,3,5,3,5,2,2,4,4,3,3,2,2,4,2,4,2,4,2,3,3,2,3,3,3,1,3,19,3,4,2,2,4,4,3,2,4,4,4,3,2,2,4,2,no,no,no,1,76,1,,no,6,6,6,1,59066,Overestimator
6,5,6,6,6,6,4,3,5,4,1,2,4,4,4,6,4,2,4,4,4,5,3,7,7,5,7,4,3,5,6,5,6,6,2,4,5,6,5,4,4,4,5,4,6,5,5,6,4,4,4,4,4,3,4,3,3,3,3,4,2,3,3,3,3,4,3,4,3,2,17,3,3,3,4,4,3,3,4,5,4,4,3,4,4,2,3,Everything felt normal through each task.,"No, I was not affected.","Very minimal, but got over it right away.",1,,1,,,6,7,7,1,59353,Underestimator
6,5,5,5,5,5,5,5,6,4,6,2,2,6,3,1,3,4,5,5,5,4,5,3,4,5,5,5,5,6,6,5,7,6,5,5,4,3,5,5,6,5,5,5,5,3,7,6,4,4,4,4,3,3,2,4,4,4,4,4,2,3,3,3,2,3,3,3,1,2,18,4,4,3,4,3,2,4,4,4,4,4,2,4,4,4,4,the questions were a bit repetitive,no,no,1,60,1,,,5,6,5,1,59058,Overestimator
5,4,3,6,5,5,5,2,4,4,2,4,5,6,4,3,2,5,5,4,4,5,3,5,6,5,5,4,3,3,4,3,3,3,5,3,4,4,5,4,3,4,5,4,4,2,1,5,1,1,1,1,2,3,2,1,1,2,4,3,4,1,4,4,1,1,3,3,1,3,17,4,2,3,3,3,2,4,2,3,2,3,2,4,2,4,2,it seemed like the test glitched for a bit so i was just pressing the keys randomly.,,,1,40,2,,,5,4,4,1,58530,Overestimator
6,3,5,4,6,6,6,3,4,5,7,4,4,5,3,5,2,1,4,3,4,4,3,6,6,4,6,4,3,2,5,5,5,4,3,4,3,4,5,5,4,3,4,4,5,4,3,4,3,4,4,2,3,3,4,4,4,4,3,5,2,3,3,3,2,4,3,3,3,2,19,4,3,3,4,2,3,3,2,4,4,3,4,5,4,3,3,"No, I didn’t find anything odd about this study",It made me think a bout a lot of things.,No ,1,65,1,,,5,6,6,1,59306,Overestimator
5,2,4,5,5,7,5,6,4,5,6,5,2,5,4,3,2,4,6,1,6,4,4,5,6,2,5,5,3,5,6,5,6,4,1,2,7,4,5,4,5,6,2,7,1,5,3,4,4,2,2,3,2,4,2,1,1,2,4,1,3,3,3,3,3,3,3,3,2,2,18,4,4,3,2,4,4,3,1,4,4,4,4,4,2,1,1,Not really,No,Yes,1,66,1,I did- I don't often think too highly of myself and I'm not great at guessing numbers I often underestimate so I thought it was weird I turned out to be an overestimator,nope,7,6,5,1,59198,Overestimator
