consentQ2,consentQ3,Age,Gender,Gender_3_TEXT,English,English_2_TEXT,Race,Race_6_TEXT,Educat,House,Income,Polit,SStatus,GStatus,SocClass,Race,Race_6_TEXT,id
1,1,,,,,,,,,,,,,,,,,47001
1,1,,,,,,,,,,,,,,,,,47001
2,2,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,
1,1,18,1,,1,,2,,2,3,5,4,5,3,3,2,,59233
1,1,21,2,,1,,2,,4,5,7,6,6,7,2,2,,58896
1,1,22,2,,1,,6,,3,3,3,1,10,10,5,6,,60147
1,1,25,1,,1,,3,,3,2,2,5,7,8,2,3,,58633
1,1,19,1,,1,,2,,2,4,8,6,4,9,2,2,,59066
1,1,18,2,,2,Spanish,4,,2,3,3,6,4,3,2,4,,59353
1,1,18,2,,2,Spanish,4,,2,3,4,6,4,2,2,4,,59353
1,1,19,2,,2,spanish,"4,6",indian,2,2,3,4,5,5,2,"4,6",,59058
1,1,21,2,,2,spanish,4,,2,3,2,4,3,2,2,4,,58530
1,1,19,2,,2,English and Spanish ,4,,2,4,1,4,4,6,2,4,,59306
1,1,20,1,,1,,3,,2,4,5,7,3,10,3,3,,59198
1,1,18,2,,2,Chinese,2,,2,5,4,7,5,8,2,2,,59216
1,1,22,1,,1,,3,,2,2,2,6,5,10,2,3,,58664
1,1,20,1,,1,,2,,2,5,4,4,6,8,2,2,,57304
1,1,19,1,,2,Spanish,4,,2,6,3,2,5,3,3,4,,57241
