StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,SING 1,SING 2,SING 3,SING 4,SING 5,SING 6,SING 7,SING 8,SING 9,SING 10,SING 11,SING 12,SING 13,SING 14,SING 15,SING 16,SING 17,SING 18,SING 19,SING 20,SING 21,SING 22,SING 23,SING 24,SING 25,SING 26,SING 27,SING 28,SING 29,SING 30,Proto_1,Proto_2,Proto_3,Proto_4,DS_1,DS_2,DS_5,DS_6,DS_7,DS_8,DS_9,DS_10,DS_11,DS_12,DS_13,DS_15,DS_16,DS_17,SCC_1,SCC_2,SCC_3,SCC_4,SCC_5,SCC_6,SCC_7,SCC_8,SCC_9,SCC_10,SCC_11,SCC_12,RSE 1,RSE 2,RSE 3,RSE 4,RSE 5,RSE 6,RSE 7,RSE 8,RSE 9,RSE 10,SI,NFC-6_1,NFC-6_2,NFC-6_3,NFC-6_4,NFC-6_5,NFC-6_6,NTB_1,NTB_2,NTB_3,NTB_4,NTB_5,NTB_6,NTB_7,NTB_8,NTB_9,NTB_10,Off1,Off2,Off3,ConDeb,Off4_1,Off5,Off6,Comments,Serious,UnderstandIns,UnderstandTr,Usable,id,mgroup
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I enjoy being unique and different from others in many respects.,"This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I can talk openly with a person who I meet for the first time, even when this person is much older than I am.","This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - Even when I strongly disagree with group members, I avoid an argument.",This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I have respect for the authority figures with whom I interact.,"This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I do my own thing, regardless of what others think.",This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I respect people who are modest about themselves.,This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I feel it is important for me to act as an independent person.,This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I will sacrifice my self interest for the benefit of the group I am in.,"This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I'd rather say ""No"" directly, than risk being misunderstood.",This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - Having a lively imagination is important to me.,This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I should take into consideration my parents' advice when making education/career plans.,This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I feel my fate is intertwined with the fate of those around me.,This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I prefer to be direct and forthright when dealing with people I've just met.,This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I feel good when I cooperate with others.,This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I am comfortable with being singled out for praise or rewards.,"This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - If my brother or sister fails, I feel responsible.",This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I often have the feeling that my relationships with others are more important than my own accomplishments.,This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - Speaking up during a class (or a meeting) is not a problem for me.,This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I would offer my seat in a bus to my professor (or my boss).,This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I act the same way no matter who I am with.,This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - My happiness depends on the happiness of those around me.,This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I value being in good health above everything.,"This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I will stay in a group if they need me, even when I am not happy with the group.","This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I try to do what is best for me, regardless of how that might affect others.",This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - Being able to take care of myself is a primary concern for me.,This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - It is important to me to respect decisions made by the group.,"This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - My personal identity, independent of others, is very important to me.",This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - It is important for me to maintain harmony within my group.,This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I act the same way at home that I do at school (or work).,"This is a questionnaire that measures a variety of feelings and behaviors in various situations. Listed below are a number of statements. Read each one as if it referred to you. Beside each statement click on the number that best matches your agreement or disagreement. Please respond to every statement. Thank you. - I usually go along with what others want to do, even when I would rather do something different.",Please indicate how true each statement is from 1 (not very much) to 9 (very much). - How well do you think you fit the description of a [Field-mgroup],Please indicate how true each statement is from 1 (not very much) to 9 (very much). - How similar are you to other [Field-mgroup]s,Please indicate how true each statement is from 1 (not very much) to 9 (very much). - How well do you match the description of a [Field-mgroup],Please indicate how true each statement is from 1 (not very much) to 9 (very much). - How well do you represent what it means to be a [Field-mgroup],"Listed below are a number of statements about your thoughts, feelings, and behaviors.  Select the number that best matches your agreement or disagreement with each statement. Use the following scale, which ranges from 1 (strongly disagree) to 7 (strongly agree).  There are no right or wrong answers. - I am the same around my family as I am around my friends.","Listed below are a number of statements about your thoughts, feelings, and behaviors.  Select the number that best matches your agreement or disagreement with each statement. Use the following scale, which ranges from 1 (strongly disagree) to 7 (strongly agree).  There are no right or wrong answers. - When I hear two sides of an argument, I often agree with both.","Listed below are a number of statements about your thoughts, feelings, and behaviors.  Select the number that best matches your agreement or disagreement with each statement. Use the following scale, which ranges from 1 (strongly disagree) to 7 (strongly agree).  There are no right or wrong answers. - I often change the way I am, depending on who I am with.","Listed below are a number of statements about your thoughts, feelings, and behaviors.  Select the number that best matches your agreement or disagreement with each statement. Use the following scale, which ranges from 1 (strongly disagree) to 7 (strongly agree).  There are no right or wrong answers. - I often find that things will contradict each other.","Listed below are a number of statements about your thoughts, feelings, and behaviors.  Select the number that best matches your agreement or disagreement with each statement. Use the following scale, which ranges from 1 (strongly disagree) to 7 (strongly agree).  There are no right or wrong answers. - If I've made up my mind about something, I stick to it.","Listed below are a number of statements about your thoughts, feelings, and behaviors.  Select the number that best matches your agreement or disagreement with each statement. Use the following scale, which ranges from 1 (strongly disagree) to 7 (strongly agree).  There are no right or wrong answers. - I have a definite set of beliefs, which guide my behavior at all times.","Listed below are a number of statements about your thoughts, feelings, and behaviors.  Select the number that best matches your agreement or disagreement with each statement. Use the following scale, which ranges from 1 (strongly disagree) to 7 (strongly agree).  There are no right or wrong answers. - I have a strong sense of who I am and don't change my views when others disagree with me.","Listed below are a number of statements about your thoughts, feelings, and behaviors.  Select the number that best matches your agreement or disagreement with each statement. Use the following scale, which ranges from 1 (strongly disagree) to 7 (strongly agree).  There are no right or wrong answers. - The way I behave usually has more to do with immediate circumstances than with my personal preferences.","Listed below are a number of statements about your thoughts, feelings, and behaviors.  Select the number that best matches your agreement or disagreement with each statement. Use the following scale, which ranges from 1 (strongly disagree) to 7 (strongly agree).  There are no right or wrong answers. - My outward behaviors reflect my true thoughts and feelings.","Listed below are a number of statements about your thoughts, feelings, and behaviors.  Select the number that best matches your agreement or disagreement with each statement. Use the following scale, which ranges from 1 (strongly disagree) to 7 (strongly agree).  There are no right or wrong answers. - I sometimes believe two things that contradict each other.","Listed below are a number of statements about your thoughts, feelings, and behaviors.  Select the number that best matches your agreement or disagreement with each statement. Use the following scale, which ranges from 1 (strongly disagree) to 7 (strongly agree).  There are no right or wrong answers. - I often find that my beliefs and attitudes will change under different contexts.","Listed below are a number of statements about your thoughts, feelings, and behaviors.  Select the number that best matches your agreement or disagreement with each statement. Use the following scale, which ranges from 1 (strongly disagree) to 7 (strongly agree).  There are no right or wrong answers. - My world is full of contradictions that cannot be resolved.","Listed below are a number of statements about your thoughts, feelings, and behaviors.  Select the number that best matches your agreement or disagreement with each statement. Use the following scale, which ranges from 1 (strongly disagree) to 7 (strongly agree).  There are no right or wrong answers. - I am constantly changing and am different from one time to the next.","Listed below are a number of statements about your thoughts, feelings, and behaviors.  Select the number that best matches your agreement or disagreement with each statement. Use the following scale, which ranges from 1 (strongly disagree) to 7 (strongly agree).  There are no right or wrong answers. - I usually behave according to my principles.","For each item, please indicate each statement generally applies to you. - My beliefs about myself often conflict with one another.","For each item, please indicate each statement generally applies to you. - On one day I might have one opinion of myself and on another day I might have a different opinion.","For each item, please indicate each statement generally applies to you. - I spend a lot of time wondering about what kind of person I really am.","For each item, please indicate each statement generally applies to you. - Sometimes I feel that I am not really the person that I appear to be.","For each item, please indicate each statement generally applies to you. - When I think about the kind of person I have been in the past, I'm not sure what I was really like.","For each item, please indicate each statement generally applies to you. - I seldom experience conflict between the different aspects of my personality.","For each item, please indicate each statement generally applies to you. - Sometimes I think I know other people better than I know myself.","For each item, please indicate each statement generally applies to you. - My beliefs about myself seem to change very frequently.","For each item, please indicate each statement generally applies to you. - If I were asked to describe my personality, my description might end up being different from one day to another day.","For each item, please indicate each statement generally applies to you. - Even if I wanted to, I don't think I could tell someone what I'm really like.","For each item, please indicate each statement generally applies to you. - In general, I have a clear sense of who I am and what I am.","For each item, please indicate each statement generally applies to you. - It is often hard for me to make up my mind about things because I don't really know what I want.","Below is a list of statements dealing with your general feelings about yourself. Please indicate how strongly you agree or disagree with each statement. - On the whole, I am satisfied with myself.",Below is a list of statements dealing with your general feelings about yourself. Please indicate how strongly you agree or disagree with each statement. - At times I think I am no good at all.,Below is a list of statements dealing with your general feelings about yourself. Please indicate how strongly you agree or disagree with each statement. - I feel that I have a number of good qualities.,Below is a list of statements dealing with your general feelings about yourself. Please indicate how strongly you agree or disagree with each statement. - I am able to do things as well as most other people.,Below is a list of statements dealing with your general feelings about yourself. Please indicate how strongly you agree or disagree with each statement. - I feel I do not have much to be proud of.,Below is a list of statements dealing with your general feelings about yourself. Please indicate how strongly you agree or disagree with each statement. - I certainly feel useless at times.,"Below is a list of statements dealing with your general feelings about yourself. Please indicate how strongly you agree or disagree with each statement. - I feel that I'm a person of worth, at least on an equal plane with others.",Below is a list of statements dealing with your general feelings about yourself. Please indicate how strongly you agree or disagree with each statement. - I wish I could have more respect for myself.,"Below is a list of statements dealing with your general feelings about yourself. Please indicate how strongly you agree or disagree with each statement. - All in all, I am inclined to feel that I am a failure.",Below is a list of statements dealing with your general feelings about yourself. Please indicate how strongly you agree or disagree with each statement. - I take a positive attitude toward myself.,I identify with being a [Field-mgroup],"For each of the statements below, please indicate whether or not the statement is characteristic of you or of what you believe. For example, if the statement is extremely uncharacteristic of you or of what you believe about yourself (not at all like you) please select a ""1"". If the statement is extremely characteristic of you or of what you believe about yourself (very much like you) please select a ""5"". - I prefer complex to simple problems.","For each of the statements below, please indicate whether or not the statement is characteristic of you or of what you believe. For example, if the statement is extremely uncharacteristic of you or of what you believe about yourself (not at all like you) please select a ""1"". If the statement is extremely characteristic of you or of what you believe about yourself (very much like you) please select a ""5"". - I like to have the responsibility of handling a situation that requires a lot of thinking.","For each of the statements below, please indicate whether or not the statement is characteristic of you or of what you believe. For example, if the statement is extremely uncharacteristic of you or of what you believe about yourself (not at all like you) please select a ""1"". If the statement is extremely characteristic of you or of what you believe about yourself (very much like you) please select a ""5"". - Thinking is not my idea of fun.","For each of the statements below, please indicate whether or not the statement is characteristic of you or of what you believe. For example, if the statement is extremely uncharacteristic of you or of what you believe about yourself (not at all like you) please select a ""1"". If the statement is extremely characteristic of you or of what you believe about yourself (very much like you) please select a ""5"". - I would rather do something that requires little thought than something that is sure to challenge my thinking abilities.","For each of the statements below, please indicate whether or not the statement is characteristic of you or of what you believe. For example, if the statement is extremely uncharacteristic of you or of what you believe about yourself (not at all like you) please select a ""1"". If the statement is extremely characteristic of you or of what you believe about yourself (very much like you) please select a ""5"". - I really enjoy a task that involves coming up with new solutions to problems.","For each of the statements below, please indicate whether or not the statement is characteristic of you or of what you believe. For example, if the statement is extremely uncharacteristic of you or of what you believe about yourself (not at all like you) please select a ""1"". If the statement is extremely characteristic of you or of what you believe about yourself (very much like you) please select a ""5"". - I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require much thought.","For each of the statements below, indicate the degree to which you agree or disagree with the statement. - If other people don't seem to accept me, I don't let it bother me.","For each of the statements below, indicate the degree to which you agree or disagree with the statement. - I try hard not to do things that will make other people avoid or reject me.","For each of the statements below, indicate the degree to which you agree or disagree with the statement. - I seldom worry about whether other people care about me.","For each of the statements below, indicate the degree to which you agree or disagree with the statement. - I need to feel that there are people I can turn to in times of need.","For each of the statements below, indicate the degree to which you agree or disagree with the statement. - I want other people to accept me.","For each of the statements below, indicate the degree to which you agree or disagree with the statement. - I do not like being alone.","For each of the statements below, indicate the degree to which you agree or disagree with the statement. - Being apart from my friends for long periods of time does not bother me.","For each of the statements below, indicate the degree to which you agree or disagree with the statement. - I have a strong need to belong.","For each of the statements below, indicate the degree to which you agree or disagree with the statement. - It bothers me a great deal when I am not included in other people's plans.","For each of the statements below, indicate the degree to which you agree or disagree with the statement. - My feelings are easily hurt when I feel that others do not accept me.","Is there anything that you found confusing, unusual, or odd during the study?",Were you affected by the information you were observing during the task?,Did you experience any doubt or skepticism during the task?,"Now that you have been debriefed regarding the study purpose, do you authorize the use of your deidentified and anonymous data (that we just collected from the previous task and questions) for research?","To what extent did you believe the deception involved in the study, and think that the group you were assigned to waslegitimate? Provide a confidence rating from 0 to 100. - Confidence","Overall, did you believe the premise of the study and that you were a ""overestimator"" or ""underestimator""? To be clear, this was randomly assigned and you were not necessarily a overestimator or underestimator.","If you expressed disbelief, doubt, or skepticism, can you please explain/elaborate why below?",Do you have any comments or feedback?,To what extent did you take the this task seriously?,To what extent did you understand the instructions in this task?,To what extent did you understand how to self-evaluate and choice between groups?,Did you understand the task and respond truthfully and meaningfully enough that your data is usable?,id,mgroup
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID569_1""}","{""ImportId"":""QID569_2""}","{""ImportId"":""QID569_3""}","{""ImportId"":""QID569_4""}","{""ImportId"":""QID569_5""}","{""ImportId"":""QID569_6""}","{""ImportId"":""QID569_7""}","{""ImportId"":""QID569_8""}","{""ImportId"":""QID569_9""}","{""ImportId"":""QID569_10""}","{""ImportId"":""QID569_11""}","{""ImportId"":""QID569_12""}","{""ImportId"":""QID569_13""}","{""ImportId"":""QID569_14""}","{""ImportId"":""QID569_15""}","{""ImportId"":""QID569_16""}","{""ImportId"":""QID569_17""}","{""ImportId"":""QID569_18""}","{""ImportId"":""QID569_19""}","{""ImportId"":""QID569_20""}","{""ImportId"":""QID569_21""}","{""ImportId"":""QID569_22""}","{""ImportId"":""QID569_23""}","{""ImportId"":""QID569_24""}","{""ImportId"":""QID569_25""}","{""ImportId"":""QID569_26""}","{""ImportId"":""QID569_27""}","{""ImportId"":""QID569_28""}","{""ImportId"":""QID569_29""}","{""ImportId"":""QID569_30""}","{""ImportId"":""QID670_1""}","{""ImportId"":""QID670_2""}","{""ImportId"":""QID670_3""}","{""ImportId"":""QID670_4""}","{""ImportId"":""QID570_1""}","{""ImportId"":""QID570_2""}","{""ImportId"":""QID570_5""}","{""ImportId"":""QID570_6""}","{""ImportId"":""QID570_7""}","{""ImportId"":""QID570_8""}","{""ImportId"":""QID570_9""}","{""ImportId"":""QID570_10""}","{""ImportId"":""QID570_11""}","{""ImportId"":""QID570_12""}","{""ImportId"":""QID570_13""}","{""ImportId"":""QID570_15""}","{""ImportId"":""QID570_16""}","{""ImportId"":""QID570_17""}","{""ImportId"":""QID571_1""}","{""ImportId"":""QID571_2""}","{""ImportId"":""QID571_3""}","{""ImportId"":""QID571_4""}","{""ImportId"":""QID571_5""}","{""ImportId"":""QID571_6""}","{""ImportId"":""QID571_7""}","{""ImportId"":""QID571_8""}","{""ImportId"":""QID571_9""}","{""ImportId"":""QID571_10""}","{""ImportId"":""QID571_11""}","{""ImportId"":""QID571_12""}","{""ImportId"":""QID572_1""}","{""ImportId"":""QID572_2""}","{""ImportId"":""QID572_3""}","{""ImportId"":""QID572_4""}","{""ImportId"":""QID572_5""}","{""ImportId"":""QID572_6""}","{""ImportId"":""QID572_7""}","{""ImportId"":""QID572_8""}","{""ImportId"":""QID572_9""}","{""ImportId"":""QID572_10""}","{""ImportId"":""QID671""}","{""ImportId"":""QID627_1""}","{""ImportId"":""QID627_2""}","{""ImportId"":""QID627_3""}","{""ImportId"":""QID627_22""}","{""ImportId"":""QID627_11""}","{""ImportId"":""QID627_15""}","{""ImportId"":""QID630_1""}","{""ImportId"":""QID630_2""}","{""ImportId"":""QID630_3""}","{""ImportId"":""QID630_4""}","{""ImportId"":""QID630_5""}","{""ImportId"":""QID630_6""}","{""ImportId"":""QID630_7""}","{""ImportId"":""QID630_8""}","{""ImportId"":""QID630_9""}","{""ImportId"":""QID630_10""}","{""ImportId"":""QID681_TEXT""}","{""ImportId"":""QID682_TEXT""}","{""ImportId"":""QID683_TEXT""}","{""ImportId"":""QID672""}","{""ImportId"":""QID673_1""}","{""ImportId"":""QID674""}","{""ImportId"":""QID675_TEXT""}","{""ImportId"":""QID676_TEXT""}","{""ImportId"":""QID677""}","{""ImportId"":""QID678""}","{""ImportId"":""QID679""}","{""ImportId"":""QID680""}","{""ImportId"":""id""}","{""ImportId"":""mgroup""}"
2022-04-27 10:33:57,2022-04-27 10:36:03,0,138.23.191.162,100,125,1,2022-04-27 10:36:03,R_YctCwBSWtKwJGEh,,,,,34.1563,-118.0868,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47001,Underestimator
2022-04-29 18:45:47,2022-04-29 18:58:39,0,71.95.195.42,100,771,1,2022-04-29 18:58:40,R_3ET2KJBlGASr9kL,,,,,34.0915,-118.1307,anonymous,EN,3,1,4,6,2,6,5,4,2,5,5,5,4,2,3,2,4,1,5,2,5,3,5,2,3,5,3,5,2,7,6,1,5,5,3,5,7,5,4,5,3,5,5,5,6,4,6,6,4,4,5,3,4,3,4,4,4,5,2,2,2,3,2,3,4,4,2,4,3,2,18,3,4,4,4,4,2,2,3,4,4,4,4,3,5,5,5,"Nothing unusual, the study was pretty straightforward.","No, I feel completely the same.","Yes, some questions made me think much more.",2,60,2,Some questions made me think more.,,6,4,4,1,59233,Underestimator
2022-04-30 21:29:09,2022-04-30 21:33:58,0,71.80.130.238,100,288,1,2022-04-30 21:33:58,R_33vW1MAisZ8UVx8,,,,,34.0062,-117.4432,anonymous,EN,5,5,4,5,3,4,4,5,4,3,4,4,5,5,3,3,4,4,4,5,5,4,4,3,5,4,4,4,3,5,7,7,7,7,3,4,5,4,5,3,4,4,5,5,3,3,4,5,4,3,3,4,4,3,4,3,3,4,4,2,3,3,2,3,3,3,3,2,3,3,18,2,3,3,4,4,3,4,4,4,4,4,3,3,4,4,4,No,Not really,Yes lots of doubt,1,81,1,N/A,No,6,7,7,1,58896,Overestimator
2022-05-01 11:18:36,2022-05-01 11:27:40,0,104.53.42.97,100,543,1,2022-05-01 11:27:40,R_3exnPU0x48nlqmT,,,,,33.5104,-117.6591,anonymous,EN,7,7,7,7,7,7,7,4,4,7,5,3,6,5,4,2,1,3,7,7,7,7,4,4,4,4,6,6,7,2,3,5,4,4,3,4,1,1,5,5,7,7,7,6,4,4,4,7,2,2,2,1,1,1,1,1,1,1,5,3,4,1,4,4,4,1,4,2,1,4,17,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,"not knowing what undersimulator is ","no ",no,2,66,2,,,5,5,6,1,60147,Underestimator
2022-05-01 12:14:41,2022-05-01 12:31:20,0,97.94.96.163,100,999,1,2022-05-01 12:31:21,R_3oTxduWQxdCd2l1,,,,,33.9243,-117.6105,anonymous,EN,5,4,3,3,4,4,5,5,5,5,4,5,5,4,3,4,5,5,4,6,4,5,5,1,4,5,4,5,5,5,5,6,5,6,7,4,1,3,5,6,6,4,5,3,3,1,2,5,2,2,1,1,2,4,2,2,2,2,4,2,4,1,4,4,1,1,4,1,1,3,17,3,4,2,2,3,4,5,2,5,4,2,3,3,2,2,1,"Still not too sure about the difference between under estimator and over estimator ",I was not,"for some of the traits, yes",1,66,1,,,7,6,7,1,58633,Underestimator
2022-05-01 15:50:58,2022-05-01 15:57:03,0,169.235.83.239,100,365,1,2022-05-01 15:57:04,R_2cwvAcpHk29yk9D,,,,,32.9511,-117.2241,anonymous,EN,6,5,3,6,6,6,6,6,2,5,6,1,5,6,6,2,6,5,2,5,5,5,5,3,6,6,6,6,3,5,6,5,5,5,5,3,3,3,4,3,5,3,3,3,3,5,3,5,2,2,4,4,3,3,2,2,4,2,4,2,4,2,3,3,2,3,3,3,1,3,19,3,4,2,2,4,4,3,2,4,4,4,3,2,2,4,2,no,no,no,1,76,1,,no,6,6,6,1,59066,Overestimator
2022-05-01 21:19:42,2022-05-01 21:31:06,0,172.119.118.2,100,684,1,2022-05-01 21:31:07,R_1ogR7pFZPIZ7dPZ,,,,,33.8744,-117.8565,anonymous,EN,6,5,6,6,6,6,4,3,5,4,1,2,4,4,4,6,4,2,4,4,4,5,3,7,7,5,7,4,3,5,6,5,6,6,2,4,5,6,5,4,4,4,5,4,6,5,5,6,4,4,4,4,4,3,4,3,3,3,3,4,2,3,3,3,3,4,3,4,3,2,17,3,3,3,4,4,3,3,4,5,4,4,3,4,4,2,3,Everything felt normal through each task.,"No, I was not affected.","Very minimal, but got over it right away.",1,,1,,,6,7,7,1,59353,Underestimator
2022-05-01 21:42:24,2022-05-01 22:06:41,0,24.205.7.73,100,1456,1,2022-05-01 22:06:41,R_dif40dmSHY5EXu1,,,,,33.9449,-117.3834,anonymous,EN,6,5,5,5,5,5,5,5,6,4,6,2,2,6,3,1,3,4,5,5,5,4,5,3,4,5,5,5,5,6,6,5,7,6,5,5,4,3,5,5,6,5,5,5,5,3,7,6,4,4,4,4,3,3,2,4,4,4,4,4,2,3,3,3,2,3,3,3,1,2,18,4,4,3,4,3,2,4,4,4,4,4,2,4,4,4,4,the questions were a bit repetitive,no,no,1,60,1,,,5,6,5,1,59058,Overestimator
