Estimator,toCont.keys,toCont.rt,SE.keys,SE.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trait,Idx,participant,date,expName,psychopyVersion,OS,frameRate,toCont_2.keys,toCont_2.rt,EnterGuess.text,Guess,dotestLoop.thisRepN,dotestLoop.thisTrialN,dotestLoop.thisN,dotestLoop.thisIndex,dotestLoop.ran,dp,Confirm2.text,toCont_3.keys,toCont_3.rt,resp.keys,resp.rt,traitC,optionLeft,optionRight,optionChoice,choiceResp,choices.thisRepN,choices.thisTrialN,choices.thisN,choices.thisIndex,choices.ran
Underestimator,space,16.2373,5,8.8562,0,0,0,25,1,Clean,8,59233,2022-04-29_17h31.48.095,SelfAnchoring,2021.2.3,Win32,145.4122437,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,4.7818,0,1,1,30,1,Contemplative,21,59233,2022-04-29_17h31.48.095,SelfAnchoring,2021.2.3,Win32,145.4122437,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,3.2857,0,2,2,69,1,Sincere,118,59233,2022-04-29_17h31.48.095,SelfAnchoring,2021.2.3,Win32,145.4122437,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,3.179,0,3,3,72,1,Mathematical,74,59233,2022-04-29_17h31.48.095,SelfAnchoring,2021.2.3,Win32,145.4122437,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,1.7521,0,4,4,12,1,Untiring,139,59233,2022-04-29_17h31.48.095,SelfAnchoring,2021.2.3,Win32,145.4122437,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,3.7349,0,5,5,70,1,Clear-headed,10,59233,2022-04-29_17h31.48.095,SelfAnchoring,2021.2.3,Win32,145.4122437,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,1.3472,0,6,6,62,1,Punctual,101,59233,2022-04-29_17h31.48.095,SelfAnchoring,2021.2.3,Win32,145.4122437,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,4.1333,0,7,7,68,1,Humble,62,59233,2022-04-29_17h31.48.095,SelfAnchoring,2021.2.3,Win32,145.4122437,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,2.7983,0,8,8,4,1,Unafraid,132,59233,2022-04-29_17h31.48.095,SelfAnchoring,2021.2.3,Win32,145.4122437,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,2.9649,0,9,9,65,1,Graceful,57,59233,2022-04-29_17h31.48.095,SelfAnchoring,2021.2.3,Win32,145.4122437,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,3.3054,0,10,10,15,1,Persevering,91,59233,2022-04-29_17h31.48.095,SelfAnchoring,2021.2.3,Win32,145.4122437,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,4.8974,0,11,11,16,1,Democratic,29,59233,2022-04-29_17h31.48.095,SelfAnchoring,2021.2.3,Win32,145.4122437,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,2.2828,0,12,12,75,1,Thrifty,130,59233,2022-04-29_17h31.48.095,SelfAnchoring,2021.2.3,Win32,145.4122437,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,4.9985,0,13,13,36,1,Unassuming,133,59233,2022-04-29_17h31.48.095,SelfAnchoring,2021.2.3,Win32,145.4122437,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,2.2716,0,14,14,60,1,Smart,120,59233,2022-04-29_17h31.48.095,SelfAnchoring,2021.2.3,Win32,145.4122437,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,1.839,0,15,15,11,1,Orderly,84,59233,2022-04-29_17h31.48.095,SelfAnchoring,2021.2.3,Win32,145.4122437,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,1.4019,0,16,16,0,1,Subtle,127,59233,2022-04-29_17h31.48.095,SelfAnchoring,2021.2.3,Win32,145.4122437,,,,,,,,,,,,,,,,,,,,,,,,,
