"","Temp","m","bias","LL","BIC","AIC","subID"
"tau[1]",7.76803844309638,0.103613238720101,0.253342984273332,-103.212789200785,221.417215222861,212.425578401569,57304
"tau[2]",7.80320513011778,0.193841286707173,0.219399444479602,-102.752372541981,220.496381905255,211.504745083963,52347
"tau[3]",7.79885132761229,0.313554145294704,0.14740948484374,-101.10662098158,217.204878784453,208.21324196316,55173
"tau[4]",7.78462620956811,0.0625665217411714,0.368537836419693,-102.913367572636,220.798032905609,211.826735145273,59058
"tau[5]",7.82175714734036,0.303583817422029,0.455482158714877,-100.829622214957,216.630542190249,207.659244429913,58941
"tau[6]",7.79821846693482,0.163754193234158,0.223926199339787,-101.520907612814,217.992635090754,209.041815225629,58818
"tau[7]",8.00246833361499,2.43424314458688,0.157851442212865,-86.934442281072,188.860521383436,179.868884562144,58994
"tau[8]",7.95826823283597,1.40611217767607,0.0265040940926151,-67.075391228426,149.142419278144,140.150782456852,59142
"tau[9]",7.7769399367244,0.0721674717020638,0.733745822912687,-72.8779329130935,160.727163586523,151.755865826187,58726
"tau[10]",7.78681113751016,0.144106786123936,0.383321031617664,-102.251230893999,219.473759548333,210.502461787997,58664
"tau[11]",7.80459493819184,0.243957199668796,0.324319326227567,-89.965363294955,194.922363411202,185.93072658991,58896
"tau[12]",7.81713295325305,0.408215568348985,0.261167876937003,-50.1835094185979,115.317838702321,106.367018837196,58432
"tau[13]",7.84005806506746,0.547850351486689,0.194769673297825,-81.7676230763499,178.381525823834,169.5352461527,51185
"tau[14]",7.89461271319391,1.47840127720506,0.0170653765726013,-95.9042797914758,206.800196404244,197.808559582952,58826
"tau[15]",7.78419288190269,0.128413579095667,0.288033050452539,-101.75533239753,218.502301616352,209.510664795059,58684
"tau[16]",7.80091506310615,0.197317468245882,0.175861375887137,-96.2054495750075,207.402535971307,198.410899150015,58971
"tau[17]",7.79747202854254,0.127404793959433,0.532553064237955,-102.618214605467,220.228066032227,211.236429210934,59274
"tau[18]",7.8307612529261,0.445295301370395,0.336779803526216,-101.176445481662,217.344527784616,208.352890963324,59151
"tau[19]",7.81360680587492,0.307084644080256,0.264447370943295,-101.62672803368,218.224753827697,209.253456067361,58102
"tau[20]",7.84219365293138,0.550081821295188,0.0249119432262055,-96.9491673213645,208.889971464021,199.898334642729,58990
"tau[21]",7.77544718970397,0.0491258175270185,0.448959089848057,-81.7108923474858,177.733838568369,169.421784694972,59082
"tau[22]",7.78289507517051,0.130751823900647,0.217047554565082,-95.4045425324198,205.800721886132,196.80908506484,58623
"tau[23]",7.80033418142613,0.170227352390324,0.342702051827823,-99.7450132825275,214.481663386347,205.490026565055,59066
"tau[24]",7.79181684485768,2.42152130115429,0.000979952685326236,-58.9242196232561,132.840076067805,123.848439246512,48342
"tau[25]",7.77937148740716,0.101039745094804,0.12093824096815,-66.5191348460133,148.029906513319,139.038269692027,58585
"tau[26]",7.7955655803447,0.132295059511742,0.352724486917748,-101.925745244865,218.802310354854,209.851490489729,59298
"tau[27]",7.94373852359893,1.28872803033802,0.00468554676990928,-80.5980798098551,176.08469351049,167.19615961971,59321
