"subID","trait","trialTotalT1","selfResp","outgroup","valence","desirability","category","interpersonal","observability","prevalence","clusterName","cluster","outDegree","inDegree","between","eigen","close","efficiency","transitivity","pageRank","Idx","inGsim","outGsim","inOutDiff"
49054,"Untiring",1,6,"UCLA","positive",5.625,1.741,3.333,3.842,3.368,"Knowledgeable",1,7,15,27.5202583730259,0.213621590259495,0.00359712230215827,0.880952380952381,0.298701298701299,0.00445391459815235,139,0.181516969398767,0.199360793384556,-0.0178438239857889
49054,"Verbal",2,5,"UCLA","positive",5.562,1.888,5.389,5.947,5.421,"Outgoing",4,9,13,36.876096075773,0.155994056215584,0.00347222222222222,0.75,0.298701298701299,0.0039575143803844,140,0.167719809957055,0.127421027754957,0.0402987822020973
49054,"Friendly",3,7,"UCLA","positive",6.562,1.944,6.167,5.684,5.526,"Respectful",2,54,20,337.523336288513,0.368501838393266,0.00434782608695652,0.67912881434894,0.253239540910774,0.00590658218413648,46,0.365099592818225,0.281492180133164,0.0836074126850613
49054,"Optimistic",4,6,"UCLA","positive",5.938,1.833,5,5.263,5,"Thoughtful",3,13,17,160.553074676941,0.259925085186785,0.00371747211895911,0.636752136752137,0.222988505747126,0.00414103453916049,83,0.2276095904928,0.229810341080277,-0.00220075058747626
49054,"Open-minded",5,7,"UCLA","positive",5.75,1.786,5,4.737,4.947,"Thoughtful",3,36,20,293.97514162599,0.384967910049679,0.00401606425702811,0.612566137566138,0.196103896103896,0.0068964810996592,82,0.294942174758314,0.268933927462761,0.026008247295553
49054,"Unafraid",6,5,"UCLA","positive",5.688,2.262,3.556,4.211,3.947,"Thoughtful",3,15,11,76.5854685616026,0.150943031490221,0.00364963503649635,0.636507936507936,0.261538461538462,0.00462307045942263,132,0.226446499178756,0.187286235242758,0.0391602639359979
49054,"Inventive",7,7,"UCLA","positive",5.688,1.839,3.444,4.211,3.895,"Knowledgeable",1,19,30,245.413662340514,0.496791705408532,0.00395256916996047,0.532456140350877,0.237244897959184,0.00890502962135988,67,0.248218993097678,0.28322335403612,-0.035004360938442
49054,"Loyal",8,7,"UCLA","positive",6.188,1.801,5.667,4.789,5.105,"Respectful",2,25,9,50.769203625119,0.16607591642832,0.00377358490566038,0.710555555555556,0.390374331550802,0.00302688490350389,72,0.29712849999128,0.231338003132865,0.0657904968584144
49054,"Confident",9,6,"UCLA","positive",6.5,1.551,4.667,5.632,4.947,"Thoughtful",3,20,16,100.430556818367,0.221801716953096,0.00380228136882129,0.676315789473684,0.255555555555556,0.00406357033086847,17,0.248584216415373,0.24910924172846,-0.000525025313087263
49054,"Well-mannered",10,6,"UCLA","positive",6.188,1.724,5.556,5.632,5,"Respectful",2,29,13,46.4892686935546,0.322779742666697,0.00384615384615385,0.740147783251232,0.349593495934959,0.00413324263267652,143,0.317582781539337,0.254881015565851,0.0627017659734868
49054,"Moral",11,7,"UCLA","positive",6.438,1.586,4.333,4.421,4.526,"Respectful",2,27,41,342.912302645313,0.748606848138984,0.00425531914893617,0.729819563152896,0.257243195785777,0.0120572462315559,77,0.347110340066842,0.309877441107455,0.0372328989593873
49054,"Stable",12,6,"UCLA","positive",6.25,1.417,4.222,5.211,5,"Level-headed",1,25,40,245.830769427642,0.695211210825393,0.00416666666666667,0.737777777777778,0.273557692307692,0.0101810170303627,123,0.344076331746399,0.349509004568484,-0.00543267282208471
49054,"Wise",13,5,"UCLA","positive",6.312,1.419,4.5,5.316,4.211,"Knowledgeable",1,23,14,116.858543929064,0.246689998218118,0.00381679389312977,0.627470355731225,0.258258258258258,0.00475598827279263,147,0.229717083053182,0.263952622871648,-0.0342355398184657
49054,"Composed",14,5,"UCLA","positive",5.812,1.704,4.611,5.368,5.053,"Level-headed",1,25,14,78.4147241535696,0.250439887182731,0.00378787878787879,0.745,0.311740890688259,0.00404913050753292,15,0.244023530804152,0.302317008501909,-0.0582934776977564
49054,"Sociable",15,7,"UCLA","positive",6.125,1.409,6,5.474,5.579,"Outgoing",4,23,25,262.580215450082,0.390649155721686,0.00386100386100386,0.704545454545454,0.237588652482269,0.00988090268504445,121,0.288575547321964,0.199400245279765,0.089175302042199
49054,"Understanding",16,6,"UCLA","positive",6.562,1.667,5.111,4.632,5.053,"Respectful",2,33,20,130.23702431815,0.411702392468322,0.004,0.719381313131313,0.298984034833091,0.00488241668393915,134,0.327930704461653,0.291592008346114,0.0363386961155396
49054,"Economical",17,6,"UCLA","positive",5.312,1.801,3.444,4.737,4.737,"Knowledgeable",1,6,10,10.5364730460196,0.162591364320794,0.00338983050847458,0.8,0.458333333333333,0.00350350695032403,34,0.146591886360428,0.197401198911632,-0.050809312551204
49054,"Sophisticated",18,7,"UCLA","positive",5.5,1.536,4.167,5.368,4.053,"Level-headed",1,11,33,134.41247452084,0.569592200496545,0.00395256916996047,0.739393939393939,0.274841437632135,0.010989201583935,122,0.259457204071849,0.296772155074945,-0.0373149510030959
