"outgroup","trait","N","optionChoiceN","sd","se","ci"
"CSU LA","Accurate",59,0.779661016949153,0.418033021718648,0.0544232638515739,0.108939998795945
"CSU LA","Benevolent",56,0.571428571428571,0.499350227145887,0.0667284809281305,0.133726864100829
"CSU LA","Calm",59,0.694915254237288,0.464395687709626,0.060459168847107,0.121022175358143
"CSU LA","Capable",59,0.694915254237288,0.464395687709626,0.060459168847107,0.121022175358143
"CSU LA","Casual",59,0.576271186440678,0.498390161195177,0.0648848723295573,0.129881183398606
"CSU LA","Charitable",59,0.694915254237288,0.464395687709626,0.060459168847107,0.121022175358143
"CSU LA","Charming",59,0.559322033898305,0.500730033970332,0.0651894978179885,0.130490957564915
"CSU LA","Clean",59,0.864406779661017,0.345294832472996,0.0449535582069653,0.089984323437423
"CSU LA","Clean-cut",59,0.610169491525424,0.491898123477587,0.0640396810090579,0.128189349154915
"CSU LA","Clear-headed",59,0.677966101694915,0.471266743637485,0.0613537041356433,0.122812782285391
"CSU LA","Clever",59,0.593220338983051,0.495449780599845,0.064502067381982,0.129114916042027
"CSU LA","Comfortable",59,0.694915254237288,0.464395687709626,0.060459168847107,0.121022175358143
"CSU LA","Communicative",59,0.711864406779661,0.456782127859628,0.0594679677815484,0.119038070854911
"CSU LA","Compassionate",59,0.728813559322034,0.44838824289303,0.0583751770388487,0.116850612518737
"CSU LA","Composed",59,0.728813559322034,0.44838824289303,0.0583751770388487,0.116850612518737
"CSU LA","Concise",58,0.655172413793103,0.479463301485384,0.0629566158051915,0.12606844858375
"CSU LA","Confident",59,0.661016949152542,0.477427354702386,0.0621557473811592,0.124418246272981
"CSU LA","Conscientious",57,0.596491228070175,0.494962088115523,0.065559330122949,0.131331119602681
"CSU LA","Considerate",59,0.711864406779661,0.456782127859628,0.0594679677815484,0.119038070854911
"CSU LA","Constructive",58,0.775862068965517,0.420655438791795,0.055234765130792,0.110605709326462
"CSU LA","Contemplative",59,0.661016949152542,0.477427354702386,0.0621557473811592,0.124418246272981
"CSU LA","Cooperative",59,0.745762711864407,0.439169291801561,0.0571749718358649,0.114448140779362
"CSU LA","Cordial",58,0.706896551724138,0.45916096973529,0.0602907890443519,0.120730222574715
"CSU LA","Courageous",59,0.610169491525424,0.491898123477587,0.0640396810090579,0.128189349154915
"CSU LA","Dedicated",59,0.779661016949153,0.418033021718648,0.0544232638515739,0.108939998795945
"CSU LA","Deep",58,0.603448275862069,0.493453820246914,0.064793660917625,0.129747067968558
"CSU LA","Deliberate",58,0.706896551724138,0.45916096973529,0.0602907890443519,0.120730222574715
"CSU LA","Delicate",58,0.586206896551724,0.496813804601715,0.0652348484777184,0.130630530818714
"CSU LA","Democratic",58,0.53448275862069,0.503166019875318,0.0660689352060522,0.132300760682255
"CSU LA","Dependable",59,0.745762711864407,0.439169291801561,0.0571749718358649,0.114448140779362
"CSU LA","Dignified",59,0.610169491525424,0.491898123477587,0.0640396810090579,0.128189349154915
"CSU LA","Disciplined",59,0.76271186440678,0.429072096298893,0.055860428949412,0.111816797299891
"CSU LA","Eager",59,0.610169491525424,0.491898123477587,0.0640396810090579,0.128189349154915
"CSU LA","Economical",59,0.525423728813559,0.503639587998848,0.0655682894884008,0.131249191474428
"CSU LA","Elegant",59,0.576271186440678,0.498390161195177,0.0648848723295573,0.129881183398606
"CSU LA","Enthusiastic",59,0.525423728813559,0.503639587998848,0.0655682894884008,0.131249191474428
"CSU LA","Ethical",59,0.677966101694915,0.471266743637485,0.0613537041356433,0.122812782285391
