"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-16075.586676875,-16075.154,26.1157215763876,26.1085859999995,-16118.82785,-16033.50405,1.00378740298301,1432.12116628521,2853.88243664785
"2","mu_pr[1]",-0.946665425192663,-1.0103679,0.395539569244189,0.27191936646,-1.42817313,-0.240204308000001,1.01298598356279,272.137846812095,515.369379179373
"3","mu_pr[2]",-1.700940908465,-1.68384475,0.258676033932592,0.25254912333,-2.171758485,-1.301587985,1.01235978263796,271.110291997321,583.905636834209
"4","mu_pr[3]",-0.106872042090163,-0.10517903,0.0601553882618151,0.060405045477,-0.2078755425,-0.012147144,1.00151803740849,1060.41698953319,2320.58006234271
"5","mu_pr[4]",0.0078787013495245,0.01452027,0.153280454230473,0.141905895159,-0.2571325975,0.2467116445,1.00256027275952,933.491102979746,1514.08251366503
"6","sigma[1]",0.451012676589125,0.453930285,0.155224329341452,0.151932941349,0.179341335,0.6963108965,1.01167623506182,304.316010203197,556.380529354122
"7","sigma[2]",0.464064309441197,0.466688105,0.146767674520442,0.144015382917,0.220499691,0.699672905,1.00763375519183,351.3034499691,893.846879742063
"8","sigma[3]",0.54233335231,0.540414705,0.0418846830214885,0.041518819356,0.4768237475,0.614746407,1.00301857198419,1835.90776756149,3075.00027221485
"9","sigma[4]",0.62690299539075,0.61330885,0.187055278252459,0.181748420238,0.346045706,0.958252231,1.00839794676881,565.608876803176,1349.09809428279
"10","tau_pr[1]",0.261539281764482,0.27122803,0.791189860980732,0.730266624234,-1.03718221,1.571930175,1.00030903903509,5175.86253932981,3529.57311168912
"11","tau_pr[2]",0.0801540745781043,0.0765284045,0.80872211252997,0.7514974347363,-1.226448675,1.425933875,1.00036889407436,10634.2908317673,5800.07310433735
"12","tau_pr[3]",-0.200679279096487,-0.199188865,0.964855683260533,0.947712205125,-1.759778725,1.42018772,1.00227777134222,12684.5385426067,5592.35456261359
"13","tau_pr[4]",0.866688065872831,0.890401165,0.731739620285824,0.692090408121,-0.3783803785,2.023213305,1.00244866949212,1247.1661082768,2091.51181899513
"14","tau_pr[5]",1.12714045494084,1.14515745,0.817371359700866,0.774579010401,-0.239219422,2.438182015,1.00260812698245,1174.40522845899,2078.7436343973
"15","tau_pr[6]",0.369647879352024,0.3683808,0.768116750232893,0.707352885561,-0.8882712505,1.64106985,1.00178353079466,5331.91899707574,3177.32328042273
"16","tau_pr[7]",-0.145458573470596,-0.14903758,0.898735347395522,0.861013782384,-1.604344515,1.35176791,1.0023209561877,14205.8954228279,5691.90557216289
"17","tau_pr[8]",0.211704836522267,0.224201595,0.80642188990129,0.766743165468,-1.13804587,1.52958329,1.00060873949868,7509.57309039397,4827.20365693021
"18","tau_pr[9]",0.00968409913279498,0.00753646515,0.891187777856654,0.885833507139,-1.454383115,1.47917156,1.00017024578554,13007.3543005525,5665.29766989962
"19","tau_pr[10]",0.0456835529425001,0.05585883,0.899033098797593,0.865956096201,-1.471632035,1.51171194,1.00018453156659,11037.9155427466,5726.15770769327
"20","tau_pr[11]",-0.17714723689388,-0.1742581,0.938279818028646,0.914458213599,-1.706053005,1.383871465,1.00007214127857,11783.6427877033,5504.02574583465
"21","tau_pr[12]",0.0197558924292475,0.0021676607,0.930469643235004,0.91287974972082,-1.53674704,1.55997801,0.999787430155349,13233.2031140687,5826.52893454832
"22","tau_pr[13]",0.0114578230229442,0.0138492345,0.872545688318217,0.834934996644,-1.41364509,1.44522461,1.00089976482799,9426.90953118859,5474.51619914644
"23","tau_pr[14]",0.0720062151665267,0.084432619,0.88082265241456,0.8623649662026,-1.38316834,1.49806081,1.00071113579874,12982.2988703635,5875.32833499684
"24","tau_pr[15]",-0.475529178389278,-0.50220254,0.936837922076816,0.912540203631,-1.95653559,1.138759885,1.00083763432819,4930.87973597313,4622.60563332356
"25","tau_pr[16]",0.116841454230826,0.118695155,1.0157129417336,1.025282697033,-1.582423505,1.780430215,1.00156876361471,10596.9880532288,5742.17670040542
"26","tau_pr[17]",-0.434138656290158,-0.451660595,0.998539433201177,1.021021378461,-2.034375295,1.237944895,1.00064913720371,3780.67258063297,5792.87988819433
"27","tau_pr[18]",-0.466839926827009,-0.50214092,0.946592090096377,0.938801230563,-1.968831515,1.11860109,1.00115968876552,5262.68416849184,5244.16628554319
"28","tau_pr[19]",-0.311232378189879,-0.319637585,0.930188927524602,0.908183472336,-1.824511855,1.2440013,1.00160464979337,9654.42285314912,4921.76128644317
"29","tau_pr[20]",-0.206994122968107,-0.237657855,0.943541119801596,0.897559835319,-1.748101695,1.37051887,0.999936114209065,11604.5904839515,5155.29082468545
"30","tau_pr[21]",0.11275159447694,0.097893409,0.800858479214525,0.747403241508,-1.181843765,1.477842535,1.00073021448385,3885.19718604774,3630.66107241558
"31","tau_pr[22]",-0.341128477260356,-0.360739175,0.952999030758134,0.93823472169,-1.857836255,1.24869845,1.00094267217758,8405.38762703294,4849.37138762571
"32","tau_pr[23]",-0.390911079896794,-0.41245955,0.933957678009739,0.925036112406,-1.881843625,1.18649455,1.00148929019375,6335.25379172179,6206.24542179938
"33","tau_pr[24]",-0.52476368910377,-0.562627335,0.972186021740732,0.9629414715837,-2.063223625,1.115899065,1.00078730421739,3958.76747911172,4907.82832892822
"34","tau_pr[25]",0.285752089345781,0.278839965,0.779187515725888,0.746093631276,-0.9736172075,1.57745406,1.00127662915657,3181.56629460668,2868.56761715395
"35","tau_pr[26]",-0.312343657522153,-0.330252065,0.940488294525919,0.929358588228,-1.80401374,1.29341581,1.00024017851274,9042.58255154871,5927.66867622893
"36","tau_pr[27]",-0.519075014693236,-0.567517415,0.957491077984807,0.928365698421,-2.025062975,1.101632035,1.00085737619095,3760.7972653276,4587.11725821622
"37","tau_pr[28]",0.266911431698867,0.256183385,0.811560532033904,0.76459513011,-1.076792905,1.648229345,1.00074540006474,7405.64804213104,4718.25851724322
"38","tau_pr[29]",-0.0852926703263049,-0.082908729,0.845164998966151,0.7944950667906,-1.469061015,1.321716425,1.00153279564222,13498.7643494297,5853.34435277018
"39","tau_pr[30]",0.416928205248461,0.4200253,0.721145957911257,0.650140107687,-0.792266234,1.589017745,1.00155546362763,2827.0879705059,2449.07119539684
"40","tau_pr[31]",-0.583155031793084,-0.605357845,0.965768755808825,0.9573163974864,-2.15218168,1.052895505,1.00050644133971,3086.77084117172,5523.52751577438
"41","tau_pr[32]",-0.0392089630060988,-0.044940537,0.927041047797225,0.901440748383,-1.582817145,1.488011875,1.00043587475462,11940.1974208488,5807.49796087205
"42","tau_pr[33]",-0.479165714647655,-0.496201995,1.01146725940124,1.005045800073,-2.0946955,1.22576562,1.00074986403678,4516.45101787472,4936.23375520632
"43","tau_pr[34]",1.53408200466798,1.5994306,0.896140682692682,0.83659033437,-0.03379056715,2.87824243,1.00320008005646,1118.11184247146,2039.32449678645
"44","tau_pr[35]",-0.683955387374885,-0.745864315,1.01887031765463,1.0144594716627,-2.250095455,1.077259135,1.00162496689059,2128.62075243356,4193.36914282433
"45","tau_pr[36]",-0.310221026030178,-0.336728275,0.948101609567522,0.940095851709,-1.846951135,1.267563435,1.00182923887697,9815.56994189437,5845.10253171432
"46","tau_pr[37]",-0.386806048776785,-0.402899035,0.941296306714008,0.929170275789,-1.91514292,1.168830735,1.00051797815171,7578.61522349483,5960.29485536588
"47","tau_pr[38]",-0.090538612232735,-0.0815903985,0.913219351778099,0.9128175632499,-1.608047515,1.39723303,0.999765525098197,10283.0492518781,6567.53846224779
"48","tau_pr[39]",0.703788946147528,0.7226292,0.779684697563454,0.738737377791,-0.6256122015,1.944145115,1.00092668904574,1754.08477492261,2299.85947963972
"49","tau_pr[40]",-0.47266325265829,-0.49477996,0.948959346851112,0.946378532295,-1.993498915,1.11402999,1.00088668944643,4520.25953452771,5366.24340089656
"50","tau_pr[41]",-0.348093752465626,-0.36976855,0.980559751350174,0.963175278345,-1.933106555,1.29172022,1.00239380174146,8887.24079918469,5357.80498798652
"51","tau_pr[42]",-0.187647550991659,-0.20832966,0.875103224702085,0.833521463565,-1.57612329,1.287491805,1.00061853595252,11762.8507043878,6314.47067031341
"52","tau_pr[43]",-0.0651545939627075,-0.0736200785,0.876296380339096,0.8480603380599,-1.484288465,1.391770685,1.00052717388349,12040.2432438482,6068.4371682001
